"ch_version","name","value","changed","description","type"
"21.3.4.25","min_compress_block_size","0",0,"When granule is written, compress the data in buffer if the size of pending uncompressed data is larger or equal than the specified threshold. If this setting is not set, the corresponding global setting is used.","UInt64"
"21.3.4.25","max_compress_block_size","0",0,"Compress the pending uncompressed data in buffer if its size is larger or equal than the specified threshold. Block of data will be compressed even if the current granule is not finished. If this setting is not set, the corresponding global setting is used.","UInt64"
"21.3.4.25","index_granularity","8192",0,"How many rows correspond to one primary key value.","UInt64"
"21.3.4.25","min_bytes_for_wide_part","10485760",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact","UInt64"
"21.3.4.25","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact","UInt64"
"21.3.4.25","min_bytes_for_compact_part","0",0,"Experimental. Minimal uncompressed size in bytes to create part in compact format instead of saving it in RAM","UInt64"
"21.3.4.25","min_rows_for_compact_part","0",0,"Experimental. Minimal number of rows to create part in compact format instead of saving it in RAM","UInt64"
"21.3.4.25","in_memory_parts_enable_wal","1",0,"Whether to write blocks in Native format to write-ahead-log before creation in-memory part","Bool"
"21.3.4.25","write_ahead_log_max_bytes","1073741824",0,"Rotate WAL, if it exceeds that amount of bytes","UInt64"
"21.3.4.25","merge_max_block_size","8192",0,"How many rows in blocks should be formed for merge operations.","UInt64"
"21.3.4.25","max_bytes_to_merge_at_max_space_in_pool","161061273600",0,"Maximum in total size of parts to merge, when there are maximum free threads in background pool (or entries in replication queue).","UInt64"
"21.3.4.25","max_bytes_to_merge_at_min_space_in_pool","1048576",0,"Maximum in total size of parts to merge, when there are minimum free threads in background pool (or entries in replication queue).","UInt64"
"21.3.4.25","max_replicated_merges_in_queue","16",0,"How many tasks of merging and mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","max_replicated_mutations_in_queue","8",0,"How many tasks of mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","max_replicated_merges_with_ttl_in_queue","1",0,"How many tasks of merging parts with TTL are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8",0,"When there is less than specified number of free entries in pool (or replicated queue), start to lower maximum size of merge to process (or to put in queue). This is to allow small merges to process - not filling the pool with long running merges.","UInt64"
"21.3.4.25","number_of_free_entries_in_pool_to_execute_mutation","10",0,"When there is less than specified number of free entries in pool, do not execute part mutations. This is to leave free threads for regular merges and avoid ""Too many parts""","UInt64"
"21.3.4.25","max_number_of_merges_with_ttl_in_pool","2",0,"When there is more than specified number of merges with TTL entries in pool, do not assign new merge with TTL. This is to leave free threads for regular merges and avoid ""Too many parts""","UInt64"
"21.3.4.25","old_parts_lifetime","480",0,"How many seconds to keep obsolete parts.","Seconds"
"21.3.4.25","temporary_directories_lifetime","86400",0,"How many seconds to keep tmp_-directories. You should not lower this value because merges and mutations may not be able to work with low value of this setting.","Seconds"
"21.3.4.25","lock_acquire_timeout_for_background_operations","120",0,"For background operations like merges, mutations etc. How many seconds before failing to acquire table locks.","Seconds"
"21.3.4.25","min_rows_to_fsync_after_merge","0",0,"Minimal number of rows to do fsync for part after merge (0 - disabled)","UInt64"
