"ch_version","version","changes"
"24.6.3.76","24.6","[('materialize_skip_indexes_on_insert','1','1','Added new setting to allow to disable materialization of skip indexes on insert'),('materialize_statistics_on_insert','1','1','Added new setting to allow to disable materialization of statistics on insert'),('input_format_parquet_use_native_reader','0','0','When reading Parquet files, to use native reader instead of arrow reader.'),('hdfs_throw_on_zero_files_match','0','0','Allow to throw an error when ListObjects request cannot match any files in HDFS engine instead of empty query result'),('azure_throw_on_zero_files_match','0','0','Allow to throw an error when ListObjects request cannot match any files in AzureBlobStorage engine instead of empty query result'),('s3_validate_request_settings','1','1','Allow to disable S3 request settings validation'),('allow_experimental_full_text_index','0','0','Enable experimental full-text index'),('azure_skip_empty_files','0','0','Allow to skip empty files in azure table engine'),('hdfs_ignore_file_doesnt_exist','0','0','Allow to return 0 rows when the requested files don\'t exist instead of throwing an exception in HDFS table engine'),('azure_ignore_file_doesnt_exist','0','0','Allow to return 0 rows when the requested files don\'t exist instead of throwing an exception in AzureBlobStorage table engine'),('s3_ignore_file_doesnt_exist','0','0','Allow to return 0 rows when the requested files don\'t exist instead of throwing an exception in S3 table engine'),('s3_max_part_number','10000','10000','Maximum part number number for s3 upload part'),('s3_max_single_operation_copy_size','33554432','33554432','Maximum size for a single copy operation in s3'),('input_format_parquet_max_block_size','8192','65409','Increase block size for parquet reader.'),('input_format_parquet_prefer_block_bytes','0','16744704','Average block bytes output by parquet reader.'),('enable_blob_storage_log','1','1','Write information about blob storage operations to system.blob_storage_log table'),('allow_deprecated_snowflake_conversion_functions','1','0','Disabled deprecated functions snowflakeToDateTime[64] and dateTime[64]ToSnowflake.'),('allow_statistic_optimize','0','0','Old setting which popped up here being renamed.'),('allow_experimental_statistic','0','0','Old setting which popped up here being renamed.'),('allow_statistics_optimize','0','0','The setting was renamed. The previous name is `allow_statistic_optimize`.'),('allow_experimental_statistics','0','0','The setting was renamed. The previous name is `allow_experimental_statistic`.'),('enable_vertical_final','0','1','Enable vertical final by default again after fixing bug'),('parallel_replicas_custom_key_range_lower','0','0','Add settings to control the range filter when using parallel replicas with dynamic shards'),('parallel_replicas_custom_key_range_upper','0','0','Add settings to control the range filter when using parallel replicas with dynamic shards. A value of 0 disables the upper limit'),('output_format_pretty_display_footer_column_names','0','1','Add a setting to display column names in the footer if there are many rows. Threshold value is controlled by output_format_pretty_display_footer_column_names_min_rows.'),('output_format_pretty_display_footer_column_names_min_rows','0','50','Add a setting to control the threshold value for setting output_format_pretty_display_footer_column_names_min_rows. Default 50.'),('output_format_csv_serialize_tuple_into_separate_columns','1','1','A new way of how interpret tuples in CSV format was added.'),('input_format_csv_deserialize_separate_columns_into_tuple','1','1','A new way of how interpret tuples in CSV format was added.'),('input_format_csv_try_infer_strings_from_quoted_tuples','1','1','A new way of how interpret tuples in CSV format was added.')]"
"24.6.3.76","24.5","[('allow_deprecated_error_prone_window_functions','1','0','Allow usage of deprecated error prone window functions (neighbor, runningAccumulate, runningDifferenceStartingWithFirstValue, runningDifference)'),('allow_experimental_join_condition','0','0','Support join with inequal conditions which involve columns from both left and right table. e.g. t1.y < t2.y.'),('input_format_tsv_crlf_end_of_line','0','0','Enables reading of CRLF line endings with TSV formats'),('output_format_parquet_use_custom_encoder','0','1','Enable custom Parquet encoder.'),('cross_join_min_rows_to_compress','0','10000000','Minimal count of rows to compress block in CROSS JOIN. Zero value means - disable this threshold. This block is compressed when any of the two thresholds (by rows or by bytes) are reached.'),('cross_join_min_bytes_to_compress','0','1073741824','Minimal size of block to compress in CROSS JOIN. Zero value means - disable this threshold. This block is compressed when any of the two thresholds (by rows or by bytes) are reached.'),('http_max_chunk_size','0','0','Internal limitation'),('prefer_external_sort_block_bytes','0','16744704','Prefer maximum block bytes for external sort, reduce the memory usage during merging.'),('input_format_force_null_for_omitted_fields','0','0','Disable type-defaults for omitted fields when needed'),('cast_string_to_dynamic_use_inference','0','0','Add setting to allow converting String to Dynamic through parsing'),('allow_experimental_dynamic_type','0','0','Add new experimental Dynamic type'),('azure_max_blocks_in_multipart_upload','50000','50000','Maximum number of blocks in multipart upload for Azure.')]"
"24.6.3.76","24.4","[('input_format_json_throw_on_bad_escape_sequence','1','1','Allow to save JSON strings with bad escape sequences'),('max_parsing_threads','0','0','Add a separate setting to control number of threads in parallel parsing from files'),('ignore_drop_queries_probability','0','0','Allow to ignore drop queries in server with specified probability for testing purposes'),('lightweight_deletes_sync','2','2','The same as \'mutation_sync\', but controls only execution of lightweight deletes'),('query_cache_system_table_handling','save','throw','The query cache no longer caches results of queries against system tables'),('input_format_json_ignore_unnecessary_fields','0','1','Ignore unnecessary fields and not parse them. Enabling this may not throw exceptions on json strings of invalid format or with duplicated fields'),('input_format_hive_text_allow_variable_number_of_columns','0','1','Ignore extra columns in Hive Text input (if file has more columns than expected) and treat missing fields in Hive Text input as default values.'),('allow_experimental_database_replicated','0','1','Database engine Replicated is now in Beta stage'),('temporary_data_in_cache_reserve_space_wait_lock_timeout_milliseconds','600000','600000','Wait time to lock cache for sapce reservation in temporary data in filesystem cache'),('optimize_rewrite_sum_if_to_count_if','0','1','Only available for the analyzer, where it works correctly'),('azure_allow_parallel_part_upload','true','true','Use multiple threads for azure multipart upload.'),('max_recursive_cte_evaluation_depth','1000','1000','Maximum limit on recursive CTE evaluation depth'),('query_plan_convert_outer_join_to_inner_join','0','1','Allow to convert OUTER JOIN to INNER JOIN if filter after JOIN always filters default values')]"
"24.6.3.76","24.3","[('s3_connect_timeout_ms','1000','1000','Introduce new dedicated setting for s3 connection timeout'),('allow_experimental_shared_merge_tree','0','1','The setting is obsolete'),('use_page_cache_for_disks_without_file_cache','0','0','Added userspace page cache'),('read_from_page_cache_if_exists_otherwise_bypass_cache','0','0','Added userspace page cache'),('page_cache_inject_eviction','0','0','Added userspace page cache'),('default_table_engine','None','MergeTree','Set default table engine to MergeTree for better usability'),('input_format_json_use_string_type_for_ambiguous_paths_in_named_tuples_inference_from_objects','0','0','Allow to use String type for ambiguous paths during named tuple inference from JSON objects'),('traverse_shadow_remote_data_paths','0','0','Traverse shadow directory when query system.remote_data_paths.'),('throw_if_deduplication_in_dependent_materialized_views_enabled_with_async_insert','0','1','Deduplication is dependent materialized view cannot work together with async inserts.'),('parallel_replicas_allow_in_with_subquery','0','1','If true, subquery for IN will be executed on every follower replica'),('log_processors_profiles','0','1','Enable by default'),('function_locate_has_mysql_compatible_argument_order','0','1','Increase compatibility with MySQL\'s locate function.'),('allow_suspicious_primary_key','1','0','Forbid suspicious PRIMARY KEY/ORDER BY for MergeTree (i.e. SimpleAggregateFunction)'),('filesystem_cache_reserve_space_wait_lock_timeout_milliseconds','1000','1000','Wait time to lock cache for sapce reservation in filesystem cache'),('max_parser_backtracks','0','1000000','Limiting the complexity of parsing'),('analyzer_compatibility_join_using_top_level_identifier','0','0','Force to resolve identifier in JOIN USING from projection'),('distributed_insert_skip_read_only_replicas','0','0','If true, INSERT into Distributed will skip read-only replicas'),('keeper_max_retries','10','10','Max retries for general keeper operations'),('keeper_retry_initial_backoff_ms','100','100','Initial backoff timeout for general keeper operations'),('keeper_retry_max_backoff_ms','5000','5000','Max backoff timeout for general keeper operations'),('s3queue_allow_experimental_sharded_mode','0','0','Enable experimental sharded mode of S3Queue table engine. It is experimental because it will be rewritten'),('allow_experimental_analyzer','0','1','Enable analyzer and planner by default.'),('merge_tree_read_split_ranges_into_intersecting_and_non_intersecting_injection_probability','0','0','For testing of `PartsSplitter` - split read ranges into intersecting and non intersecting every time you read from MergeTree with the specified probability.'),('allow_get_client_http_header','0','0','Introduced a new function.'),('output_format_pretty_row_numbers','0','1','It is better for usability.'),('output_format_pretty_max_value_width_apply_for_single_value','1','0','Single values in Pretty formats won\'t be cut.'),('output_format_parquet_string_as_string','0','1','ClickHouse allows arbitrary binary data in the String data type, which is typically UTF-8. Parquet/ORC/Arrow Strings only support UTF-8. That\'s why you can choose which Arrow\'s data type to use for the ClickHouse String data type - String or Binary. While Binary would be more correct and compatible, using String by default will correspond to user expectations in most cases.'),('output_format_orc_string_as_string','0','1','ClickHouse allows arbitrary binary data in the String data type, which is typically UTF-8. Parquet/ORC/Arrow Strings only support UTF-8. That\'s why you can choose which Arrow\'s data type to use for the ClickHouse String data type - String or Binary. While Binary would be more correct and compatible, using String by default will correspond to user expectations in most cases.'),('output_format_arrow_string_as_string','0','1','ClickHouse allows arbitrary binary data in the String data type, which is typically UTF-8. Parquet/ORC/Arrow Strings only support UTF-8. That\'s why you can choose which Arrow\'s data type to use for the ClickHouse String data type - String or Binary. While Binary would be more correct and compatible, using String by default will correspond to user expectations in most cases.'),('output_format_parquet_compression_method','lz4','zstd','Parquet/ORC/Arrow support many compression methods, including lz4 and zstd. ClickHouse supports each and every compression method. Some inferior tools, such as \'duckdb\', lack support for the faster `lz4` compression method, that\'s why we set zstd by default.'),('output_format_orc_compression_method','lz4','zstd','Parquet/ORC/Arrow support many compression methods, including lz4 and zstd. ClickHouse supports each and every compression method. Some inferior tools, such as \'duckdb\', lack support for the faster `lz4` compression method, that\'s why we set zstd by default.'),('output_format_pretty_highlight_digit_groups','0','1','If enabled and if output is a terminal, highlight every digit corresponding to the number of thousands, millions, etc. with underline.'),('geo_distance_returns_float64_on_float64_arguments','0','1','Increase the default precision.'),('azure_max_inflight_parts_for_one_file','20','20','The maximum number of a concurrent loaded parts in multipart upload request. 0 means unlimited.'),('azure_strict_upload_part_size','0','0','The exact size of part to upload during multipart upload to Azure blob storage.'),('azure_min_upload_part_size','16777216','16777216','The minimum size of part to upload during multipart upload to Azure blob storage.'),('azure_max_upload_part_size','5368709120','5368709120','The maximum size of part to upload during multipart upload to Azure blob storage.'),('azure_upload_part_size_multiply_factor','2','2','Multiply azure_min_upload_part_size by this factor each time azure_multiply_parts_count_threshold parts were uploaded from a single write to Azure blob storage.'),('azure_upload_part_size_multiply_parts_count_threshold','500','500','Each time this number of parts was uploaded to Azure blob storage, azure_min_upload_part_size is multiplied by azure_upload_part_size_multiply_factor.'),('output_format_csv_serialize_tuple_into_separate_columns','1','1','A new way of how interpret tuples in CSV format was added.'),('input_format_csv_deserialize_separate_columns_into_tuple','1','1','A new way of how interpret tuples in CSV format was added.'),('input_format_csv_try_infer_strings_from_quoted_tuples','1','1','A new way of how interpret tuples in CSV format was added.')]"
"24.6.3.76","24.2","[('allow_suspicious_variant_types','1','0','Don\'t allow creating Variant type with suspicious variants by default'),('validate_experimental_and_suspicious_types_inside_nested_types','0','1','Validate usage of experimental and suspicious types inside nested types'),('output_format_values_escape_quote_with_quote','0','0','If true escape \' with \'\', otherwise quoted with \\\''),('output_format_pretty_single_large_number_tip_threshold','0','1000000','Print a readable number tip on the right side of the table if the block consists of a single number which exceeds this value (except 0)'),('input_format_try_infer_exponent_floats','1','0','Don\'t infer floats in exponential notation by default'),('query_plan_optimize_prewhere','1','1','Allow to push down filter to PREWHERE expression for supported storages'),('async_insert_max_data_size','1000000','10485760','The previous value appeared to be too small.'),('async_insert_poll_timeout_ms','10','10','Timeout in milliseconds for polling data from asynchronous insert queue'),('async_insert_use_adaptive_busy_timeout','0','1','Use adaptive asynchronous insert timeout'),('async_insert_busy_timeout_min_ms','50','50','The minimum value of the asynchronous insert timeout in milliseconds; it also serves as the initial value, which may be increased later by the adaptive algorithm'),('async_insert_busy_timeout_max_ms','200','200','The minimum value of the asynchronous insert timeout in milliseconds; async_insert_busy_timeout_ms is aliased to async_insert_busy_timeout_max_ms'),('async_insert_busy_timeout_increase_rate','0.2','0.2','The exponential growth rate at which the adaptive asynchronous insert timeout increases'),('async_insert_busy_timeout_decrease_rate','0.2','0.2','The exponential growth rate at which the adaptive asynchronous insert timeout decreases'),('format_template_row_format','','','Template row format string can be set directly in query'),('format_template_resultset_format','','','Template result set format string can be set in query'),('split_parts_ranges_into_intersecting_and_non_intersecting_final','1','1','Allow to split parts ranges into intersecting and non intersecting during FINAL optimization'),('split_intersecting_parts_ranges_into_layers_final','1','1','Allow to split intersecting parts ranges into layers during FINAL optimization'),('azure_max_single_part_copy_size','268435456','268435456','The maximum size of object to copy using single part copy to Azure blob storage.'),('min_external_table_block_size_rows','1048449','1048449','Squash blocks passed to external table to specified size in rows, if blocks are not big enough'),('min_external_table_block_size_bytes','268402944','268402944','Squash blocks passed to external table to specified size in bytes, if blocks are not big enough.'),('parallel_replicas_prefer_local_join','1','1','If true, and JOIN can be executed with parallel replicas algorithm, and all storages of right JOIN part are *MergeTree, local JOIN will be used instead of GLOBAL JOIN.'),('optimize_time_filter_with_preimage','1','1','Optimize Date and DateTime predicates by converting functions into equivalent comparisons without conversions (e.g. toYear(col) = 2023 -> col >= \'2023-01-01\' AND col <= \'2023-12-31\')'),('extract_key_value_pairs_max_pairs_per_row','0','0','Max number of pairs that can be produced by the `extractKeyValuePairs` function. Used as a safeguard against consuming too much memory.'),('default_view_definer','CURRENT_USER','CURRENT_USER','Allows to set default `DEFINER` option while creating a view'),('default_materialized_view_sql_security','DEFINER','DEFINER','Allows to set a default value for SQL SECURITY option when creating a materialized view'),('default_normal_view_sql_security','INVOKER','INVOKER','Allows to set default `SQL SECURITY` option while creating a normal view'),('mysql_map_string_to_text_in_show_columns','0','1','Reduce the configuration effort to connect ClickHouse with BI tools.'),('mysql_map_fixed_string_to_text_in_show_columns','0','1','Reduce the configuration effort to connect ClickHouse with BI tools.')]"
"24.6.3.76","24.1","[('print_pretty_type_names','0','1','Better user experience.'),('input_format_json_read_bools_as_strings','0','1','Allow to read bools as strings in JSON formats by default'),('output_format_arrow_use_signed_indexes_for_dictionary','0','1','Use signed indexes type for Arrow dictionaries by default as it\'s recommended'),('allow_experimental_variant_type','0','0','Add new experimental Variant type'),('use_variant_as_common_type','0','0','Allow to use Variant in if/multiIf if there is no common type'),('output_format_arrow_use_64_bit_indexes_for_dictionary','0','0','Allow to use 64 bit indexes type in Arrow dictionaries'),('parallel_replicas_mark_segment_size','128','128','Add new setting to control segment size in new parallel replicas coordinator implementation'),('ignore_materialized_views_with_dropped_target_table','0','0','Add new setting to allow to ignore materialized views with dropped target table'),('output_format_compression_level','3','3','Allow to change compression level in the query output'),('output_format_compression_zstd_window_log','0','0','Allow to change zstd window log in the query output when zstd compression is used'),('enable_zstd_qat_codec','0','0','Add new ZSTD_QAT codec'),('enable_vertical_final','0','1','Use vertical final by default'),('output_format_arrow_use_64_bit_indexes_for_dictionary','0','0','Allow to use 64 bit indexes type in Arrow dictionaries'),('max_rows_in_set_to_optimize_join','100000','0','Disable join optimization as it prevents from read in order optimization'),('output_format_pretty_color','1','auto','Setting is changed to allow also for auto value, disabling ANSI escapes if output is not a tty'),('function_visible_width_behavior','0','1','We changed the default behavior of `visibleWidth` to be more precise'),('max_estimated_execution_time','0','0','Separate max_execution_time and max_estimated_execution_time'),('iceberg_engine_ignore_schema_evolution','0','0','Allow to ignore schema evolution in Iceberg table engine'),('optimize_injective_functions_in_group_by','0','1','Replace injective functions by it\'s arguments in GROUP BY section in analyzer'),('update_insert_deduplication_token_in_dependent_materialized_views','0','0','Allow to update insert deduplication token with table identifier during insert in dependent materialized views'),('azure_max_unexpected_write_error_retries','4','4','The maximum number of retries in case of unexpected errors during Azure blob storage write'),('split_parts_ranges_into_intersecting_and_non_intersecting_final','0','1','Allow to split parts ranges into intersecting and non intersecting during FINAL optimization'),('split_intersecting_parts_ranges_into_layers_final','1','1','Allow to split intersecting parts ranges into layers during FINAL optimization')]"
"24.6.3.76","23.12","[('allow_suspicious_ttl_expressions','1','0','It is a new setting, and in previous versions the behavior was equivalent to allowing.'),('input_format_parquet_allow_missing_columns','0','1','Allow missing columns in Parquet files by default'),('input_format_orc_allow_missing_columns','0','1','Allow missing columns in ORC files by default'),('input_format_arrow_allow_missing_columns','0','1','Allow missing columns in Arrow files by default')]"
"24.6.3.76","23.11","[('parsedatetime_parse_without_leading_zeros','0','1','Improved compatibility with MySQL DATE_FORMAT/STR_TO_DATE')]"
"24.6.3.76","23.9","[('optimize_group_by_constant_keys','0','1','Optimize group by constant keys by default'),('input_format_json_try_infer_named_tuples_from_objects','0','1','Try to infer named Tuples from JSON objects by default'),('input_format_json_read_numbers_as_strings','0','1','Allow to read numbers as strings in JSON formats by default'),('input_format_json_read_arrays_as_strings','0','1','Allow to read arrays as strings in JSON formats by default'),('input_format_json_infer_incomplete_types_as_strings','0','1','Allow to infer incomplete types as Strings in JSON formats by default'),('input_format_json_try_infer_numbers_from_strings','1','0','Don\'t infer numbers from strings in JSON formats by default to prevent possible parsing errors'),('http_write_exception_in_output_format','0','1','Output valid JSON/XML on exception in HTTP streaming.')]"
"24.6.3.76","23.8","[('rewrite_count_distinct_if_with_count_distinct_implementation','0','1','Rewrite countDistinctIf with count_distinct_implementation configuration')]"
