"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","parameters","returned_value","examples","introduced_in","categories"
"25.12.3.21","roundBankers",0,0,"","","System","
Rounds a number to a specified decimal position `N`.
If the rounding number is halfway between two numbers, the function uses a method of rounding called banker's rounding, which is the default rounding method for floating point numbers defined in IEEE 754.

- If `N > 0`, the function rounds to the right of the decimal point
- If `N < 0`, the function rounds to the left of the decimal point
- If `N = 0`, the function rounds to the next integer

:::info Notes
- When the rounding number is halfway between two numbers, it's rounded to the nearest even digit at the specified decimal position.
For example: `3.5` rounds up to `4`, `2.5` rounds down to `2`.
- The `round` function performs the same rounding for floating point numbers.
- The `roundBankers` function also rounds integers the same way, for example, `roundBankers(45, -1) = 40`.
- In other cases, the function rounds numbers to the nearest integer.
:::

:::tip Use banker's rounding for summation or subtraction of numbers
Using banker's rounding, you can reduce the effect that rounding numbers has on the results of summing or subtracting these numbers.

For example, sum numbers `1.5, 2.5, 3.5, 4.5` with different rounding:
- No rounding: `1.5 + 2.5 + 3.5 + 4.5 = 12`.
- Banker's rounding: `2 + 2 + 4 + 4 = 12`.
- Rounding to the nearest integer: `2 + 3 + 4 + 5 = 14`.
:::
","roundBankers(x[, N])","- `x` — A number to round. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Decimal*`](/sql-reference/data-types/decimal) or [`Float*`](/sql-reference/data-types/float)
- `[, N]` — Optional. The number of decimal places to round to. Defaults to `0`. [`(U)Int*`](/sql-reference/data-types/int-uint)
","","Returns a value rounded by the banker's rounding method. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Decimal*`](/sql-reference/data-types/decimal) or [`Float*`](/sql-reference/data-types/float)","**Basic usage**

```sql title=Query
SELECT number / 2 AS x, roundBankers(x, 0) AS b FROM system.numbers LIMIT 10
```

```response title=Response
┌───x─┬─b─┐
│   0 │ 0 │
│ 0.5 │ 0 │
│   1 │ 1 │
│ 1.5 │ 2 │
│   2 │ 2 │
│ 2.5 │ 2 │
│   3 │ 3 │
│ 3.5 │ 4 │
│   4 │ 4 │
│ 4.5 │ 4 │
└─────┴───┘
```

","20.1","Rounding"
"25.12.3.21","trunc",0,1,"","","System","
Like [`floor`](#floor) but returns the rounded number with the largest absolute value less than or equal to that of `x`.
","truncate(x[, N])","- `x` — The value to round. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)
- `N` — Optional. The number of decimal places to round to. Defaults to zero, which means rounding to an integer. [`(U)Int*`](/sql-reference/data-types/int-uint)
","","Returns a rounded number of the same type as `x`. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)","**Basic usage**

```sql title=Query
SELECT truncate(123.499, 1) AS res;
```

```response title=Response
┌───res─┐
│ 123.4 │
└───────┘
```

","1.1","Rounding"
"25.12.3.21","ceil",0,1,"","","System","
Like [`floor`](#floor) but returns the smallest rounded number greater than or equal to `x`.
If rounding causes an overflow (for example, `ceiling(255, -1)`), the result is undefined.
","ceiling(x[, N])","- `x` — The value to round. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)
- `N` — Optional. The number of decimal places to round to. Defaults to zero, which means rounding to an integer. Can be negative. [`(U)Int*`](/sql-reference/data-types/int-uint)
","","Returns a rounded number of the same type as `x`. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)","**Basic usage**

```sql title=Query
SELECT ceiling(123.45, 1) AS rounded
```

```response title=Response
┌─rounded─┐
│   123.5 │
└─────────┘
```

**Negative precision**

```sql title=Query
SELECT ceiling(123.45, -1)
```

```response title=Response
┌─ceiling(123.45, -1)─┐
│                 130 │
└─────────────────────┘
```

","1.1","Rounding"
"25.12.3.21","floor",0,1,"","","System","
Returns the largest rounded number less than or equal to `x`, where the rounded number is a multiple of `1 / 10 * N`, or the nearest number of the appropriate data type if `1 / 10 * N` isn't exact.

Integer arguments may be rounded with a negative `N` argument.
With non-negative `N` the function returns `x`.

If rounding causes an overflow (for example, `floor(-128, -1)`), the result is undefined.
","floor(x[, N])","- `x` — The value to round. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)
- `N` — Optional. The number of decimal places to round to. Defaults to zero, which means rounding to an integer. Can be negative. [`(U)Int*`](/sql-reference/data-types/int-uint)
","","Returns a rounded number of the same type as `x`. [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal) or [`(U)Int*`](/sql-reference/data-types/int-uint)","**Usage example**

```sql title=Query
SELECT floor(123.45, 1) AS rounded
```

```response title=Response
┌─rounded─┐
│   123.4 │
└─────────┘
```

**Negative precision**

```sql title=Query
SELECT floor(123.45, -1)
```

```response title=Response
┌─floor(123.45, -1)─┐
│               120 │
└───────────────────┘
```

","1.1","Rounding"
"25.12.3.21","exp",0,1,"","","System","
Returns e raised to the power of `x`, where `x` is the given argument to the function.
","exp(x)","- `x` — The exponent. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Float*`](/sql-reference/data-types/float) or [`Decimal*`](/sql-reference/data-types/decimal)
","","Returns `e^x` [`Float*`](/sql-reference/data-types/float)","**Basic usage**

```sql title=Query
SELECT round(exp(-1), 4)
```

```response title=Response
┌─round(exp(-1), 4)─┐
│            0.3679 │
└───────────────────┘
```

","1.1","Mathematical"
"25.12.3.21","replaceRegexpAll",0,0,"","","System","
Like `replaceRegexpOne` but replaces all occurrences of the pattern.
As an exception, if a regular expression worked on an empty substring, the replacement is not made more than once.
","replaceRegexpAll(haystack, pattern, replacement)","- `haystack` — The input string to search in. [`String`](/sql-reference/data-types/string)
- `pattern` — The regular expression pattern to find. [`const String`](/sql-reference/data-types/string)
- `replacement` — The string to replace the pattern with, may contain substitutions. [`const String`](/sql-reference/data-types/string)
","","Returns a string with all regex matches replaced. [`String`](/sql-reference/data-types/string)","**Replace all characters with doubled version**

```sql title=Query
SELECT replaceRegexpAll('Hello123', '.', '\\\\0\\\\0') AS res
```

```response title=Response
┌─res──────────────────┐
│ HHeelllloo112233     │
└──────────────────────┘
```

**Empty substring replacement example**

```sql title=Query
SELECT replaceRegexpAll('Hello, World!', '^', 'here: ') AS res
```

```response title=Response
┌─res─────────────────┐
│ here: Hello, World! │
└─────────────────────┘
```

","1.1","String Replacement"
"25.12.3.21","toDayOfMonth",0,0,"","","System","
Returns the day of the month (1-31) of a `Date` or `DateTime`.
        ","toDayOfMonth(datetime)","- `datetime` — Date or date with time to get the day of month from. [`Date`](/sql-reference/data-types/date) or [`Date32`](/sql-reference/data-types/date32) or [`DateTime`](/sql-reference/data-types/datetime) or [`DateTime64`](/sql-reference/data-types/datetime64)
","","Returns the day of the month of the given date/time [`UInt8`](/sql-reference/data-types/int-uint)","**Usage example**

```sql title=Query
SELECT toDayOfMonth(toDateTime('2023-04-21 10:20:30'))
```

```response title=Response
┌─toDayOfMonth(toDateTime('2023-04-21 10:20:30'))─┐
│                                              21 │
└─────────────────────────────────────────────────┘
```

","1.1","Dates and Times"
"25.12.3.21","icebergBucket",0,0,"","","System","Implements logic for the [iceberg bucket transform](https://iceberg.apache.org/spec/#bucket-transform-details.)","icebergBucket(N, value)","- `N` — The number of buckets, modulo. [`const (U)Int*`](/sql-reference/data-types/int-uint)
- `value` — The source value to transform. [`(U)Int*`](/sql-reference/data-types/int-uint) or [`Bool`](/sql-reference/data-types/boolean) or [`Decimal`](/sql-reference/data-types/decimal) or [`Float*`](/sql-reference/data-types/float) or [`String`](/sql-reference/data-types/string) or [`FixedString`](/sql-reference/data-types/fixedstring) or [`UUID`](/sql-reference/data-types/uuid) or [`Date`](/sql-reference/data-types/date) or [`Time`](/sql-reference/data-types/time) or [`DateTime`](/sql-reference/data-types/datetime)
","","Returns a 32-bit hash of the source value. [`Int32`](/sql-reference/data-types/int-uint)","**Example**

```sql title=Query
SELECT icebergBucket(5, 1.0 :: Float32)
```

```response title=Response
4
```

","25.5","Other"
"25.12.3.21","HMAC",0,1,"","","System","
Computes the HMAC (Hash-based Message Authentication Code) for the given message using the specified hash algorithm and secret key.

Supported hash algorithms:
- RSA-MD4 (aliases: MD4, RSA-MD4)
- RSA-MD5 (aliases: MD5, RSA-MD5)
- RSA-MDC2 (aliases: MDC2, RSA-MDC2)
- RSA-RIPEMD160 (aliases: RIPEMD160, RSA-RIPEMD160)
- RSA-SHA1 (aliases: RSA-SHA1, SHA1)
- RSA-SHA1-2 (aliases: RSA-SHA1, RSA-SHA1-2)
- RSA-SHA224 (aliases: RSA-SHA224, SHA224)
- RSA-SHA256 (aliases: RSA-SHA256, SHA256)
- RSA-SHA3-224 (aliases: RSA-SHA3-224, SHA3-224)
- RSA-SHA3-256 (aliases: RSA-SHA3-256, SHA3-256)
- RSA-SHA3-384 (aliases: RSA-SHA3-384, SHA3-384)
- RSA-SHA3-512 (aliases: RSA-SHA3-512, SHA3-512)
- RSA-SHA384 (aliases: RSA-SHA384, SHA384)
- RSA-SHA512 (aliases: RSA-SHA512, SHA512)
- RSA-SHA512/224 (aliases: RSA-SHA512/224, SHA512-224)
- RSA-SHA512/256 (aliases: RSA-SHA512/256, SHA512-256)
- RSA-SM3 (aliases: RSA-SM3, SM3)
- blake2b512
- blake2s256
- id-rsassa-pkcs1-v1_5-with-sha3-224 (aliases: SHA3-224, id-rsassa-pkcs1-v1_5-with-sha3-224)
- id-rsassa-pkcs1-v1_5-with-sha3-256 (aliases: SHA3-256, id-rsassa-pkcs1-v1_5-with-sha3-256)
- id-rsassa-pkcs1-v1_5-with-sha3-384 (aliases: SHA3-384, id-rsassa-pkcs1-v1_5-with-sha3-384)
- id-rsassa-pkcs1-v1_5-with-sha3-512 (aliases: SHA3-512, id-rsassa-pkcs1-v1_5-with-sha3-512)
- md4
- md4WithRSAEncryption (aliases: MD4, md4WithRSAEncryption)
- md5
- md5-sha1
- md5WithRSAEncryption (aliases: MD5, md5WithRSAEncryption)
- mdc2
- mdc2WithRSA (aliases: MDC2, mdc2WithRSA)
- ripemd (aliases: RIPEMD160, ripemd)
- ripemd160
- ripemd160WithRSA (aliases: RIPEMD160, ripemd160WithRSA)
- rmd160 (aliases: RIPEMD160, rmd160)
- sha1
- sha1WithRSAEncryption (aliases: SHA1, sha1WithRSAEncryption)
- sha224
- sha224WithRSAEncryption (aliases: SHA224, sha224WithRSAEncryption)
- sha256
- sha256WithRSAEncryption (aliases: SHA256, sha256WithRSAEncryption)
- sha3-224
- sha3-256
- sha3-384
- sha3-512
- sha384
- sha384WithRSAEncryption (aliases: SHA384, sha384WithRSAEncryption)
- sha512
- sha512-224
- sha512-224WithRSAEncryption (aliases: SHA512-224, sha512-224WithRSAEncryption)
- sha512-256
- sha512-256WithRSAEncryption (aliases: SHA512-256, sha512-256WithRSAEncryption)
- sha512WithRSAEncryption (aliases: SHA512, sha512WithRSAEncryption)
- shake128
- shake256
- sm3
- sm3WithRSAEncryption (aliases: SM3, sm3WithRSAEncryption)
- ssl3-md5 (aliases: MD5, ssl3-md5)
- ssl3-sha1 (aliases: SHA1, ssl3-sha1)
- whirlpool
    ","HMAC(mode, message, key)","- `mode` — Hash algorithm name (case-insensitive). Supported: md5, sha1, sha224, sha256, sha384, sha512. [`String`](/sql-reference/data-types/string)
- `message` — Message to be authenticated. [`String`](/sql-reference/data-types/string)
- `key` — Secret key for HMAC. [`String`](/sql-reference/data-types/string)
","","Returns a binary string containing the HMAC digest. [`String`](/sql-reference/data-types/string)","**Basic HMAC-SHA256**

```sql title=Query
SELECT hex(HMAC('sha256', 'The quick brown fox jumps over the lazy dog', 'secret_key'));
```

```response title=Response
┌─hex(HMAC('sha256', 'The quick brown fox jumps over the lazy dog', 'secret_key'))─┐
│ 31FD15FA0F61FD40DC09D919D4AA5B4141A0B27C1D51E74A6789A890AAAA187C                 │
└──────────────────────────────────────────────────────────────────────────────────┘
```

**Different hash algorithms**

```sql title=Query
SELECT
    hex(HMAC('md5', 'message', 'key')) AS hmac_md5,
    hex(HMAC('sha1', 'message', 'key')) AS hmac_sha1,
    hex(HMAC('sha256', 'message', 'key')) AS hmac_sha256;
```

```response title=Response
┌─hmac_md5─────────────────────────┬─hmac_sha1────────────────────────────────┬─hmac_sha256──────────────────────────────────────────────────────┐
│ 4E4748E62B463521F6775FBF921234B5 │ 2088DF74D5F2146B48146CAF4965377E9D0BE3A4 │ 6E9EF29B75FFFC5B7ABAE527D58FDADB2FE42E7219011976917343065F58ED4A │
└──────────────────────────────────┴──────────────────────────────────────────┴──────────────────────────────────────────────────────────────────┘
```

**Case-insensitive mode**

```sql title=Query
SELECT
    hmac('SHA256', 'message', 'key') = HMAC('sha256', 'message', 'key') AS same_result,
    HMAC('SHA256', 'message', 'key') = Hmac('Sha256', 'message', 'key') AS also_same;
```

```response title=Response
┌─same_result─┬─also_same─┐
│           1 │         1 │
└─────────────┴───────────┘
```

","25.12","Encryption"
"25.12.3.21","JSONDynamicPathsWithTypes",0,0,"","","System","
Returns the list of dynamic paths that are stored as separate subcolumns and their types in each row in JSON column.
        ","JSONDynamicPathsWithTypes(json)","- `json` — JSON column. [`JSON`](/sql-reference/data-types/newjson)
","","Returns a map of dynamic paths and their data types in the JSON column. [`Map(String, String)`](/sql-reference/data-types/map)","**Usage example**

```sql title=Query
CREATE TABLE test (json JSON(max_dynamic_paths=1)) ENGINE = Memory;
INSERT INTO test FORMAT JSONEachRow {""json"" : {""a"" : 42}}, {""json"" : {""b"" : ""Hello""}}, {""json"" : {""a"" : [1, 2, 3], ""c"" : ""2020-01-01""}}
SELECT json, JSONDynamicPathsWithTypes(json) FROM test;
```

```response title=Response
┌─json─────────────────────────────────┬─JSONDynamicPathsWithTypes(json)─┐
│ {""a"":""42""}                           │ {'a':'Int64'}                   │
│ {""b"":""Hello""}                        │ {}                              │
│ {""a"":[""1"",""2"",""3""],""c"":""2020-01-01""} │ {'a':'Array(Nullable(Int64))'}  │
└──────────────────────────────────────┴─────────────────────────────────┘
```

","24.8","JSON"
