"ch_version","name","is_aggregate","is_deterministic","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","returned_value","examples","categories"
"24.3.6.48","h3GetIndexesFromUnidirectionalEdge",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSON_VALUE",0,1,0,"","","System","","","","","",""
"24.3.6.48","intHash64",0,1,0,"","","System","","","","","",""
"24.3.6.48","intHash32",0,1,0,"","","System","","","","","",""
"24.3.6.48","multiSearchFirstIndexUTF8",0,1,0,"","","System","","","","","",""
"24.3.6.48","polygonsDistanceCartesian",0,1,0,"","","System","","","","","",""
"24.3.6.48","h3EdgeLengthKm",0,1,0,"","","System","","","","","",""
"24.3.6.48","fuzzBits",0,0,0,"","","System","","","","","",""
"24.3.6.48","IPv4NumToStringClassC",0,1,0,"","","System","","","","","",""
"24.3.6.48","IPv4NumToString",0,1,0,"","","System","","","","","",""
"24.3.6.48","isIPv6String",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSON_QUERY",0,1,0,"","","System","","","","","",""
"24.3.6.48","isIPv4String",0,1,0,"","","System","","","","","",""
"24.3.6.48","IPv4CIDRToRange",0,1,0,"","","System","","","","","",""
"24.3.6.48","IPv6CIDRToRange",0,1,0,"","","System","","","","","",""
"24.3.6.48","MACStringToNum",0,1,0,"","","System","","","","","",""
"24.3.6.48","cutIPv6",0,1,0,"","","System","","","","","",""
"24.3.6.48","polygonsDistanceSpherical",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitHammingDistance",0,1,0,"","","System","","","","","",""
"24.3.6.48","IPv4StringToNumOrDefault",0,1,0,"","","System","","","","","",""
"24.3.6.48","UUIDNumToString",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIntervalHour",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIntervalMinute",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIntervalMillisecond",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTime64BestEffortUSOrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTime64BestEffortOrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTime64BestEffort",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTime32BestEffort",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTimeBestEffortOrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTimeBestEffortOrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIPv6OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIPv4OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUUIDOrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","parseDateTimeBestEffort",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal128OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal64OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal32OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDateTimeOrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDate32OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDateOrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toFloat64OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt128OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt64OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt128OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt64OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt8OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIPv6OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal256OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal64OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal32OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDate32OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDateOrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toFloat64OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toFloat32OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt128OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt64OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt16OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt128OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt32OrZero",0,1,0,"","","System","","","","","",""
"24.3.6.48","toString",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDateTime",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal128",0,1,0,"","","System","","","","","",""
"24.3.6.48","toFloat64",0,1,0,"","","System","","","","","",""
"24.3.6.48","toFloat32",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt128",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt32",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt8",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt256",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt64",0,1,0,"","","System","","","","","",""
"24.3.6.48","toDecimal32",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt32",0,1,0,"","","System","","","","","",""
"24.3.6.48","UUIDStringToNum",0,1,0,"","","System","","","","","",""
"24.3.6.48","roundDown",0,1,0,"","","System","","","","","",""
"24.3.6.48","trunc",0,1,1,"","","System","","","","","",""
"24.3.6.48","roundBankers",0,1,0,"","","System","","","","","",""
"24.3.6.48","round",0,1,1,"","","System","","","","","",""
"24.3.6.48","blockSize",0,0,0,"","","System","","","","","",""
"24.3.6.48","toUInt16",0,1,0,"","","System","","","","","",""
"24.3.6.48","isNotNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","regionToName",0,\N,0,"","","System","","","","","",""
"24.3.6.48","toUUID",0,1,0,"","","System","","","","","",""
"24.3.6.48","regionToCountry",0,\N,0,"","","System","","","","","",""
"24.3.6.48","regionToArea",0,\N,0,"","","System","","","","","",""
"24.3.6.48","regionToCity",0,\N,0,"","","System","","","","","",""
"24.3.6.48","cutQueryString",0,1,0,"","","System","","","","","",""
"24.3.6.48","halfMD5",0,1,0,"","","System","
[Interprets](../..//sql-reference/functions/type-conversion-functions.md/#type_conversion_functions-reinterpretAsString) all the input
parameters as strings and calculates the MD5 hash value for each of them. Then combines hashes, takes the first 8 bytes of the hash of the
resulting string, and interprets them as [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order. The function is
relatively slow (5 million short strings per second per processor core).

Consider using the [sipHash64](../../sql-reference/functions/hash-functions.md/#hash_functions-siphash64) function instead.
                       ","SELECT halfMD5(par1,par2,...,parN);","- par1,par2,...,parN:
The function takes a variable number of input parameters. Arguments can be any of the supported data types. For some data types calculated
value of hash function may be the same for the same values even if types of arguments differ (integers of different size, named and unnamed
Tuple with the same data, Map and the corresponding Array(Tuple(key, value)) type with the same data).
                       
","The computed half MD5 hash of the given input params returned as a [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order.",":

``` sql
SELECT HEX(halfMD5('abc', 'cde', 'fgh'));
```

``` text

┌─hex(halfMD5('abc', 'cde', 'fgh'))─┐
│ 2C9506B7374CFAF4                  │
└───────────────────────────────────┘
            
```
",""
"24.3.6.48","wyHash64",0,1,0,"","","System","","","","","",""
"24.3.6.48","xxHash32",0,1,0,"","","System","","","","","",""
"24.3.6.48","javaHashUTF16LE",0,1,0,"","","System","","","","","",""
"24.3.6.48","javaHash",0,1,0,"","","System","","","","","",""
"24.3.6.48","URLHash",0,1,0,"","","System","","","","","",""
"24.3.6.48","metroHash64",0,1,0,"","","System","","","","","",""
"24.3.6.48","farmHash64",0,1,0,"","","System","","","","","",""
"24.3.6.48","farmFingerprint64",0,1,0,"","","System","","","","","",""
"24.3.6.48","regionToTopContinent",0,\N,0,"","","System","","","","","",""
"24.3.6.48","intDiv",0,1,0,"","","System","","","","","",""
"24.3.6.48","cityHash64",0,1,0,"","","System","","","","","",""
"24.3.6.48","sipHash128",0,1,0,"","","System","","","","","",""
"24.3.6.48","mapExtractKeyLike",0,1,0,"","","System","Returns a map with elements which key matches the specified pattern.","","","","mapExtractKeyLike:

``` sql
SELECT mapExtractKeyLike(map('k1-1', 1, 'k2-1', 2), 'k1%')
```

``` text

```
","Map"
"24.3.6.48","sipHash128ReferenceKeyed",0,1,0,"","","System","Same as [sipHash128Reference](#hash_functions-siphash128reference) but additionally takes an explicit key argument instead of using a fixed key.","","","","hash:

``` sql
SELECT hex(sipHash128ReferenceKeyed((506097522914230528, 1084818905618843912),'foo', '\x01', 3));
```

``` text

```
","Hash"
"24.3.6.48","mapPartialSort",0,1,0,"","","System","The same as arrayReverseSort.","","","","mapPartialSort:

``` sql
SELECT mapPartialSort((k, v) -> v, 2, map('k1', 3, 'k2', 1, 'k3', 2))
```

``` text

```
","Map"
"24.3.6.48","mapSort",0,1,0,"","","System","The same as arraySort.","","","","mapSort:

``` sql
SELECT mapSort((k, v) -> v, map('k1', 3, 'k2', 1, 'k3', 2))
```

``` text

```
","Map"
"24.3.6.48","mapAll",0,1,0,"","","System","The same as arrayAll.","","","","mapAll:

``` sql
SELECT mapAll((k, v) -> v = 1, map('k1', 1, 'k2', 2))
```

``` text

```
","Map"
"24.3.6.48","mapFilter",0,1,0,"","","System","The same as arrayFilter.","","","","mapFilter:

``` sql
SELECT mapFilter((k, v) -> v > 1, map('k1', 1, 'k2', 2))
```

``` text

```
","Map"
"24.3.6.48","toIPv4",0,1,0,"","","System","","","","","",""
"24.3.6.48","mapValues",0,1,0,"","","System","Returns an array with the values of map.","","","","mapValues:

``` sql
SELECT mapValues(map('k1', 'v1', 'k2', 'v2'))
```

``` text

```
","Map"
"24.3.6.48","mapConcat",0,1,0,"","","System","The same as arrayConcat.","","","","mapConcat:

``` sql
SELECT mapConcat(map('k1', 'v1'), map('k2', 'v2'))
```

``` text

```
","Map"
"24.3.6.48","toDate32",0,1,0,"","","System","","","","","",""
"24.3.6.48","lowCardinalityIndices",0,1,0,"","","System","","","","","",""
"24.3.6.48","decrypt",0,1,0,"","","System","","","","","",""
"24.3.6.48","logTrace",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt16OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","timeSlots",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONExtractKeys",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONExtractKeysAndValuesRaw",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUInt16OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONExtractRaw",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONExtractString",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONKey",0,1,0,"","","System","","","","","",""
"24.3.6.48","JSONLength",0,1,0,"","","System","","","","","",""
"24.3.6.48","isValidJSON",0,1,0,"","","System","","","","","",""
"24.3.6.48","mapContains",0,1,0,"","","System","Checks whether the map has the specified key.","","","","mapContains:

``` sql
SELECT mapContains(map('k1', 'v1', 'k2', 'v2'), 'k1')
```

``` text

```
","Map"
"24.3.6.48","char",0,1,1,"","","System","","","","","",""
"24.3.6.48","h3EdgeAngle",0,1,0,"","","System","","","","","",""
"24.3.6.48","detectTonality",0,\N,0,"","","System","","","","","",""
"24.3.6.48","toRelativeWeekNum",0,1,0,"","","System","","","","","",""
"24.3.6.48","showCertificate",0,1,0,"","","System","","","","","",""
"24.3.6.48","nested",0,1,0,"","","System","
Returns the array of tuples from multiple arrays.
","","","","nested:

``` sql
SELECT nested(['keys', 'values'], ['key_1', 'key_2'], ['value_1','value_2'])
```

``` text

```
","OtherFunctions"
"24.3.6.48","toDecimal64",0,1,0,"","","System","","","","","",""
"24.3.6.48","jsonMergePatch",0,1,0,"","","System","Returns the merged JSON object string, which is formed by merging multiple JSON objects.","","","","",""
"24.3.6.48","__bitWrapperFunc",0,1,0,"","","System","","","","","",""
"24.3.6.48","sipHash64Keyed",0,1,0,"","","System","","","","","",""
"24.3.6.48","extractAll",0,1,0,"","","System","","","","","",""
"24.3.6.48","toUTCTimestamp",0,1,0,"","","System","","","","","",""
"24.3.6.48","endsWith",0,1,0,"","","System","","","","","",""
"24.3.6.48","ifNotFinite",0,1,0,"","","System","","","","","",""
"24.3.6.48","subDate",0,1,1,"","","System","","","","","",""
"24.3.6.48","convertCharset",0,1,0,"","","System","","","","","",""
"24.3.6.48","arrayRandomSample",0,1,0,"","","System","","","","","",""
"24.3.6.48","extractTextFromHTML",0,1,0,"","","System","","","","","",""
"24.3.6.48","toIntervalQuarter",0,1,0,"","","System","","","","","",""
"24.3.6.48","multiSearchAny",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapContains",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapHasAny",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapXor",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapOr",0,1,0,"","","System","","","","","",""
"24.3.6.48","xxh3",0,1,0,"","","System","Calculates value of XXH3 64-bit hash function. Refer to https://github.com/Cyan4973/xxHash for detailed documentation.","","","","hash:

``` sql
SELECT xxh3('ClickHouse')
```

``` text

```
","Hash"
"24.3.6.48","bitmapAnd",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapAndnotCardinality",0,1,0,"","","System","","","","","",""
"24.3.6.48","IPv6StringToNumOrDefault",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapAndnot",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapXorCardinality",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapOrCardinality",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapAndCardinality",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapMin",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapCardinality",0,1,0,"","","System","","","","","",""
"24.3.6.48","mapExists",0,1,0,"","","System","The same as arrayExists.","","","","mapExists:

``` sql
SELECT mapExists((k, v) -> v = 1, map('k1', 1, 'k2', 2))
```

``` text

```
","Map"
"24.3.6.48","bitmapSubsetLimit",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapSubsetInRange",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapToArray",0,1,0,"","","System","","","","","",""
"24.3.6.48","bitmapBuild",0,1,0,"","","System","","","","","",""
"24.3.6.48","addQuarters",0,1,0,"","","System","","","","","",""
"24.3.6.48","pointInEllipses",0,1,0,"","","System","","","","","",""
"24.3.6.48","addressToLineWithInlines",0,\N,0,"","","System","","","","","",""
"24.3.6.48","monthName",0,1,1,"","","System","","","","","",""
"24.3.6.48","splitByRegexp",0,1,0,"","","System","","","","","",""
"24.3.6.48","arrayReverseFill",0,1,0,"","","System","","","","","",""
"24.3.6.48","arrayFill",0,1,0,"","","System","","","","","",""
"24.3.6.48","addressToSymbol",0,\N,0,"","","System","","","","","",""
"24.3.6.48","toIntervalSecond",0,1,0,"","","System","","","","","",""
"24.3.6.48","kostikConsistentHash",0,1,0,"","","System","","","","","",""
"24.3.6.48","if",0,1,1,"","","System","","","","","",""
"24.3.6.48","pathFull",0,1,0,"","","System","","","","","",""
"24.3.6.48","arraySlice",0,1,0,"","","System","","","","","",""
"24.3.6.48","empty",0,1,0,"","","System","","","","","",""
"24.3.6.48","toStartOfQuarter",0,1,0,"","","System","","","","","",""
"24.3.6.48","toInt256OrNull",0,1,0,"","","System","","","","","",""
"24.3.6.48","decodeHTMLComponent",0,1,0,"","","System","","","","","",""
"24.3.6.48","dictGetDescendants",0,0,0,"","","System","
Returns all descendants as if dictGetChildren function was applied level times recursively.
Accepts 3 parameters: name of the dictionary, key value - expression returning a UInt64-type value, level — hierarchy level - If level = 0 returns all descendants to the end - UInt8
Returned value: descendants for the key, type of Array(UInt64)
","","","","",""
"24.3.6.48","dictGetChildren",0,0,0,"","","System","
Returns first-level children as an array of indexes. It is the inverse transformation for dictGetHierarchy.
Accepts 2 parameters: name of the dictionary, key value - expression returning a UInt64-type value.
Returned value: first-level descendants for the key, type of Array(UInt64)
","","","","",""
"24.3.6.48","notEmpty",0,1,0,"","","System","","","","","",""
"24.3.6.48","format",0,1,0,"","","System","","","","","",""
"24.3.6.48","dictGetHierarchy",0,0,0,"","","System","
Creates an array, containing all the parents of a key in the hierarchical dictionary.
Accepts 2 parameters: name of the dictionary, key value - expression returning a UInt64-type value.
Returned value: parents for the key, type of Array(UInt64)
","","","","",""
