"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","returned_value","examples","introduced_in","categories"
"25.5.4.38","halfMD5",0,0,"","","System","
[Interprets](../..//sql-reference/functions/type-conversion-functions.md/#type_conversion_functions-reinterpretAsString) all the input
parameters as strings and calculates the MD5 hash value for each of them. Then combines hashes, takes the first 8 bytes of the hash of the
resulting string, and interprets them as [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order. The function is
relatively slow (5 million short strings per second per processor core).

Consider using the [sipHash64](../../sql-reference/functions/hash-functions.md/#hash_functions-siphash64) function instead.
                       ","SELECT halfMD5(par1,par2,...,parN);","- `par1,par2,...,parN` — 
The function takes a variable number of input parameters. Arguments can be any of the supported data types. For some data types calculated
value of hash function may be the same for the same values even if types of arguments differ (integers of different size, named and unnamed
Tuple with the same data, Map and the corresponding Array(Tuple(key, value)) type with the same data).
                       
","The computed half MD5 hash of the given input params returned as a [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order.",":

```sql
SELECT HEX(halfMD5('abc', 'cde', 'fgh'));
```

Result:

```text

┌─hex(halfMD5('abc', 'cde', 'fgh'))─┐
│ 2C9506B7374CFAF4                  │
└───────────────────────────────────┘
            
```
","","Hash"
"25.5.4.38","wyHash64",0,0,"","","System","","","","","","",""
"25.5.4.38","xxHash64",0,0,"","","System","","","","","","",""
"25.5.4.38","javaHashUTF16LE",0,0,"","","System","","","","","","",""
"25.5.4.38","javaHash",0,0,"","","System","","","","","","",""
"25.5.4.38","metroHash64",0,0,"","","System","","","","","","",""
"25.5.4.38","farmFingerprint64",0,0,"","","System","","","","","","",""
"25.5.4.38","sipHash128",0,0,"","","System","","","","","","",""
"25.5.4.38","log2",0,1,"","","System","","","","","","",""
"25.5.4.38","regionToName",0,0,"","","System","","","","","","",""
"25.5.4.38","regionIn",0,0,"","","System","","","","","","",""
"25.5.4.38","cityHash64",0,0,"","","System","","","","","","",""
"25.5.4.38","regionToTopContinent",0,0,"","","System","","","","","","",""
