"ch_version","type","version","changes"
"25.11.2.24","Session","25.11","[('query_plan_max_limit_for_lazy_materialization','10','100','More optimal'),('create_table_empty_primary_key_by_default','0','1','Better usability'),('cluster_table_function_split_granularity','file','file','New setting.'),('cluster_table_function_buckets_batch_size','0','0','New setting.'),('arrow_flight_request_descriptor_type','path','path','New setting. Type of descriptor to use for Arrow Flight requests: \'path\' or \'command\'. Dremio requires \'command\'.'),('send_profile_events','1','1','New setting. Whether to send profile events to the clients.'),('into_outfile_create_parent_directories','0','0','New setting'),('correlated_subqueries_default_join_kind','left','right','New setting. Default join kind for decorrelated query plan.'),('use_statistics_cache','0','0','New setting'),('input_format_parquet_use_native_reader_v3','0','1','Seems stable'),('max_projection_rows_to_use_projection_index','1000000','1000000','New setting'),('min_table_rows_to_use_projection_index','1000000','1000000','New setting'),('use_text_index_dictionary_cache','0','0','New setting'),('use_text_index_header_cache','0','0','New setting'),('use_text_index_postings_cache','0','0','New setting'),('s3_retry_attempts','500','500','Changed the value of the obsolete setting'),('http_write_exception_in_output_format','1','0','Changed for consistency across formats'),('optimize_const_name_size','-1','256','Replace with scalar and use hash as a name for large constants (size is estimated by name length)'),('enable_lazy_columns_replication','0','1','Enable lazy columns replication in JOIN and ARRAY JOIN by default'),('allow_special_serialization_kinds_in_output_formats','0','1','Enable direct output of special columns representations like Sparse/Replicated in some output formats'),('allow_experimental_alias_table_engine','0','0','New setting'),('input_format_parquet_local_time_as_utc','0','1','Use more appropriate type DateTime64(..., \'UTC\') for parquet \'local time without timezone\' type.'),('input_format_parquet_verify_checksums','1','1','New setting.'),('output_format_parquet_write_checksums','0','1','New setting.'),('database_shared_drop_table_delay_seconds','28800','28800','New setting.'),('filesystem_cache_allow_background_download','1','1','New setting to control background downloads in filesystem cache per query.'),('show_processlist_include_internal','0','1','New setting.')]"
"25.11.2.24","Session","25.10","[('allow_special_serialization_kinds_in_output_formats','0','0','Add a setting to allow output of special columns representations like Sparse/Replicated without converting them to full columns'),('enable_lazy_columns_replication','0','0','Add a setting to enable lazy columns replication in JOIN and ARRAY JOIN'),('correlated_subqueries_default_join_kind','left','right','New setting. Default join kind for decorrelated query plan.'),('show_data_lake_catalogs_in_system_tables','1','0','Disable catalogs in system tables by default'),('optimize_rewrite_like_perfect_affix','0','1','New setting'),('allow_dynamic_type_in_join_keys','1','0','Disallow using Dynamic type in JOIN keys by default'),('s3queue_keeper_fault_injection_probability','0','0','New setting.'),('enable_join_runtime_filters','0','0','New setting'),('join_runtime_filter_exact_values_limit','10000','10000','New setting'),('join_runtime_bloom_filter_bytes','524288','524288','New setting'),('join_runtime_bloom_filter_hash_functions','3','3','New setting'),('use_join_disjunctions_push_down','0','0','New setting.'),('joined_block_split_single_row','0','0','New setting'),('temporary_files_buffer_size','1048576','1048576','New setting'),('rewrite_in_to_join','0','0','New experimental setting'),('delta_lake_log_metadata','0','0','New setting.'),('distributed_cache_prefer_bigger_buffer_size','0','0','New setting.'),('allow_experimental_qbit_type','0','0','New experimental setting'),('optimize_qbit_distance_function_reads','1','1','New setting'),('read_from_distributed_cache_if_exists_otherwise_bypass_cache','0','0','New setting'),('s3_slow_all_threads_after_retryable_error','0','0','Disable the setting by default'),('backup_slow_all_threads_after_retryable_s3_error','0','0','Disable the setting by default'),('enable_http_compression','0','1','It should be beneficial in general'),('inject_random_order_for_select_without_order_by','0','0','New setting'),('exclude_materialize_skip_indexes_on_insert','','','New setting.'),('optimize_empty_string_comparisons','0','1','A new setting.'),('query_plan_use_logical_join_step','1','1','Added alias'),('schema_inference_make_columns_nullable','1','3','Take nullability information from Parquet/ORC/Arrow metadata by default, instead of making everything nullable.'),('materialized_views_squash_parallel_inserts','0','1','Added setting to preserve old behavior if needed.'),('distributed_cache_connect_timeout_ms','50','50','New setting'),('distributed_cache_receive_timeout_ms','3000','3000','New setting'),('distributed_cache_send_timeout_ms','3000','3000','New setting'),('distributed_cache_tcp_keep_alive_timeout_ms','2900','2900','New setting')]"
"25.11.2.24","Session","25.9","[('input_format_protobuf_oneof_presence','0','0','New setting'),('iceberg_delete_data_on_drop','0','0','New setting'),('use_skip_indexes_on_data_read','0','0','New setting'),('s3_slow_all_threads_after_retryable_error','0','0','Added an alias for setting `backup_slow_all_threads_after_retryable_s3_error`'),('iceberg_metadata_log_level','none','none','New setting.'),('iceberg_insert_max_rows_in_data_file','1000000','1000000','New setting.'),('iceberg_insert_max_bytes_in_data_file','1073741824','1073741824','New setting.'),('query_plan_optimize_join_order_limit','1','1','New setting'),('query_plan_display_internal_aliases','0','0','New setting'),('query_plan_max_step_description_length','1000000000','500','New setting'),('allow_experimental_delta_lake_writes','0','0','New setting.'),('query_plan_convert_any_join_to_semi_or_anti_join','1','1','New setting.'),('text_index_use_bloom_filter','1','1','New setting.'),('query_plan_direct_read_from_text_index','1','1','New setting.'),('enable_producing_buckets_out_of_order_in_aggregation','0','1','New setting'),('jemalloc_enable_profiler','0','0','New setting'),('jemalloc_collect_profile_samples_in_trace_log','0','0','New setting'),('delta_lake_insert_max_bytes_in_data_file','1073741824','1073741824','New setting.'),('delta_lake_insert_max_rows_in_data_file','1000000','1000000','New setting.'),('promql_evaluation_time','auto','auto','The setting was renamed. The previous name is `evaluation_time`.'),('evaluation_time','0','0','Old setting which popped up here being renamed.'),('os_threads_nice_value_query','0','0','New setting.'),('os_threads_nice_value_materialized_view','0','0','New setting.'),('os_thread_priority','0','0','Alias for os_threads_nice_value_query.')]"
"25.11.2.24","Session","25.8","[('output_format_json_quote_64bit_integers','1','0','Disable quoting of the 64 bit integers in JSON by default'),('show_data_lake_catalogs_in_system_tables','1','1','New setting'),('optimize_rewrite_regexp_functions','0','1','A new setting'),('max_joined_block_size_bytes','0','4194304','New setting'),('azure_max_single_part_upload_size','104857600','33554432','Align with S3'),('azure_max_redirects','10','10','New setting'),('azure_max_get_rps','0','0','New setting'),('azure_max_get_burst','0','0','New setting'),('azure_max_put_rps','0','0','New setting'),('azure_max_put_burst','0','0','New setting'),('azure_use_adaptive_timeouts','1','1','New setting'),('azure_request_timeout_ms','30000','30000','New setting'),('azure_connect_timeout_ms','1000','1000','New setting'),('azure_sdk_use_native_client','0','1','New setting'),('analyzer_compatibility_allow_compound_identifiers_in_unflatten_nested','0','1','New setting.'),('distributed_cache_connect_backoff_min_ms','0','0','New setting'),('distributed_cache_connect_backoff_max_ms','50','50','New setting'),('distributed_cache_read_request_max_tries','20','10','Changed setting value'),('distributed_cache_connect_max_tries','20','5','Changed setting value'),('opentelemetry_trace_cpu_scheduling','0','0','New setting to trace `cpu_slot_preemption` feature.'),('output_format_parquet_max_dictionary_size','1048576','1048576','New setting'),('input_format_parquet_use_native_reader_v3','0','0','New setting'),('input_format_parquet_memory_low_watermark','2097152','2097152','New setting'),('input_format_parquet_memory_high_watermark','4294967296','4294967296','New setting'),('input_format_parquet_page_filter_push_down','1','1','New setting (no effect when input_format_parquet_use_native_reader_v3 is disabled)'),('input_format_parquet_use_offset_index','1','1','New setting (no effect when input_format_parquet_use_native_reader_v3 is disabled)'),('output_format_parquet_enum_as_byte_array','0','1','Enable writing Enum as byte array in Parquet by default'),('json_type_escape_dots_in_keys','0','0','Add new setting that allows to escape dots in JSON keys during JSON type parsing'),('parallel_replicas_support_projection','0','1','New setting. Optimization of projections can be applied in parallel replicas. Effective only with enabled parallel_replicas_local_plan and aggregation_in_order is inactive.'),('input_format_json_infer_array_of_dynamic_from_array_of_different_types','0','1','Infer Array(Dynamic) for JSON arrays with different values types by default'),('enable_add_distinct_to_in_subqueries','0','0','New setting to reduce the size of temporary tables transferred for distributed IN subqueries.'),('enable_vector_similarity_index','0','1','Vector similarity indexes are GA.'),('execute_exists_as_scalar_subquery','0','1','New setting'),('allow_experimental_vector_similarity_index','0','1','Vector similarity indexes are GA.'),('vector_search_with_rescoring','1','0','New setting.'),('delta_lake_enable_expression_visitor_logging','0','0','New setting'),('write_full_path_in_iceberg_metadata','0','0','New setting.'),('output_format_orc_compression_block_size','65536','262144','New setting'),('allow_database_iceberg','0','0','Added an alias for setting `allow_experimental_database_iceberg`'),('allow_database_unity_catalog','0','0','Added an alias for setting `allow_experimental_database_unity_catalog`'),('allow_database_glue_catalog','0','0','Added an alias for setting `allow_experimental_database_glue_catalog`'),('apply_patch_parts_join_cache_buckets','8','8','New setting'),('delta_lake_throw_on_engine_predicate_error','0','0','New setting'),('delta_lake_enable_engine_predicate','1','1','New setting'),('backup_restore_s3_retry_initial_backoff_ms','25','25','New setting'),('backup_restore_s3_retry_max_backoff_ms','5000','5000','New setting'),('backup_restore_s3_retry_jitter_factor','0','0.1','New setting'),('vector_search_index_fetch_multiplier','1','1','Alias for setting \'vector_search_postfilter_multiplier\''),('backup_slow_all_threads_after_retryable_s3_error','0','0','New setting'),('allow_experimental_ytsaurus_table_engine','0','0','New setting.'),('allow_experimental_ytsaurus_table_function','0','0','New setting.'),('allow_experimental_ytsaurus_dictionary_source','0','0','New setting.'),('per_part_index_stats','0','0','New setting.'),('allow_experimental_iceberg_compaction','0','0','New setting '),('delta_lake_snapshot_version','-1','-1','New setting'),('use_roaring_bitmap_iceberg_positional_deletes','0','0','New setting'),('iceberg_metadata_compression_method','','','New setting'),('allow_experimental_correlated_subqueries','0','1','Mark correlated subqueries support as Beta.'),('promql_database','','','New experimental setting'),('promql_table','','','New experimental setting'),('evaluation_time','0','0','New experimental setting'),('output_format_parquet_date_as_uint16','0','0','Added a compatibility setting for a minor compatibility-breaking change introduced back in 24.12.'),('enable_lightweight_update','0','1','Lightweight updates were moved to Beta. Added an alias for setting \'allow_experimental_lightweight_update\'.'),('allow_experimental_lightweight_update','0','1','Lightweight updates were moved to Beta.'),('s3_slow_all_threads_after_retryable_error','0','0','Added an alias for setting `backup_slow_all_threads_after_retryable_s3_error`')]"
"25.11.2.24","Session","25.7","[('correlated_subqueries_substitute_equivalent_expressions','0','1','New setting to correlated subquery planning optimization.'),('function_date_trunc_return_type_behavior','0','0','Add new setting to preserve old behaviour of dateTrunc function'),('output_format_parquet_geometadata','0','1','A new setting to allow to write information about geo columns in parquet metadata and encode columns in WKB format.'),('cluster_function_process_archive_on_multiple_nodes','0','1','New setting'),('enable_vector_similarity_index','0','0','Added an alias for setting `allow_experimental_vector_similarity_index`'),('distributed_plan_max_rows_to_broadcast','20000','20000','New experimental setting.'),('output_format_json_map_as_array_of_tuples','0','0','New setting'),('input_format_json_map_as_array_of_tuples','0','0','New setting'),('parallel_distributed_insert_select','0','2','Enable parallel distributed insert select by default'),('write_through_distributed_cache_buffer_size','0','0','New cloud setting'),('min_joined_block_size_rows','0','65409','New setting.'),('table_engine_read_through_distributed_cache','0','0','New setting'),('distributed_cache_alignment','0','0','Rename of distributed_cache_read_alignment'),('enable_scopes_for_with_statement','1','1','New setting for backward compatibility with the old analyzer.'),('output_format_parquet_enum_as_byte_array','0','0','Write enum using parquet physical type: BYTE_ARRAY and logical type: ENUM'),('distributed_plan_force_shuffle_aggregation','0','0','New experimental setting'),('allow_experimental_insert_into_iceberg','0','0','New setting.')]"
"25.11.2.24","Session","25.6","[('output_format_native_use_flattened_dynamic_and_json_serialization','0','0','Add flattened Dynamic/JSON serializations to Native format'),('cast_string_to_date_time_mode','basic','basic','Allow to use different DateTime parsing mode in String to DateTime cast'),('parallel_replicas_connect_timeout_ms','1000','300','Separate connection timeout for parallel replicas queries'),('use_iceberg_partition_pruning','0','1','Enable Iceberg partition pruning by default.'),('distributed_cache_credentials_refresh_period_seconds','5','5','New private setting'),('enable_shared_storage_snapshot_in_query','0','0','A new setting to share storage snapshot in query'),('merge_tree_storage_snapshot_sleep_ms','0','0','A new setting to debug storage snapshot consistency in query'),('enable_job_stack_trace','0','0','The setting was disabled by default to avoid performance overhead.'),('use_legacy_to_time','1','1','New setting. Allows for user to use the old function logic for toTime, which works as toTimeWithFixedDate.'),('allow_experimental_time_time64_type','0','0','New settings. Allows to use a new experimental Time and Time64 data types.'),('enable_time_time64_type','0','0','New settings. Allows to use a new experimental Time and Time64 data types.'),('optimize_use_projection_filtering','0','1','New setting'),('input_format_parquet_enable_json_parsing','0','1','When reading Parquet files, parse JSON columns as ClickHouse JSON Column.'),('use_skip_indexes_if_final','0','1','Change in default value of setting'),('use_skip_indexes_if_final_exact_mode','0','1','Change in default value of setting'),('allow_experimental_time_series_aggregate_functions','0','0','New setting to enable experimental timeSeries* aggregate functions.'),('min_outstreams_per_resize_after_split','0','24','New setting.'),('count_matches_stop_at_empty_match','1','0','New setting.'),('enable_parallel_blocks_marshalling','false','true','A new setting'),('format_schema_source','file','file','New setting'),('format_schema_message_name','','','New setting'),('enable_scopes_for_with_statement','1','1','New setting for backward compatibility with the old analyzer.'),('backup_slow_all_threads_after_retryable_s3_error','0','0','New setting'),('s3_slow_all_threads_after_retryable_error','0','0','Added an alias for setting `backup_slow_all_threads_after_retryable_s3_error`'),('s3_retry_attempts','500','500','Changed the value of the obsolete setting')]"
"25.11.2.24","Session","25.5","[('geotoh3_argument_order','lon_lat','lat_lon','A new setting for legacy behaviour to set lon and lat argument order'),('secondary_indices_enable_bulk_filtering','0','1','A new algorithm for filtering by data skipping indices'),('implicit_table_at_top_level','','','A new setting, used in clickhouse-local'),('use_skip_indexes_if_final_exact_mode','0','0','This setting was introduced to help FINAL query return correct results with skip indexes'),('parsedatetime_e_requires_space_padding','1','0','Improved compatibility with MySQL DATE_FORMAT/STR_TO_DATE'),('formatdatetime_e_with_space_padding','1','0','Improved compatibility with MySQL DATE_FORMAT/STR_TO_DATE'),('input_format_max_block_size_bytes','0','0','New setting to limit bytes size if blocks created by input format'),('parallel_replicas_insert_select_local_pipeline','0','1','Use local pipeline during distributed INSERT SELECT with parallel replicas. Currently disabled due to performance issues'),('page_cache_block_size','1048576','1048576','Made this setting adjustable on a per-query level.'),('page_cache_lookahead_blocks','16','16','Made this setting adjustable on a per-query level.'),('output_format_pretty_glue_chunks','0','auto','A new setting to make Pretty formats prettier.'),('distributed_cache_read_only_from_current_az','1','1','New setting'),('parallel_hash_join_threshold','0','100000','New setting'),('max_limit_for_ann_queries','1000','0','Obsolete setting'),('max_limit_for_vector_search_queries','1000','1000','New setting'),('min_os_cpu_wait_time_ratio_to_throw','0','0','Setting values were changed and backported to 25.4'),('max_os_cpu_wait_time_ratio_to_throw','0','0','Setting values were changed and backported to 25.4'),('make_distributed_plan','0','0','New experimental setting.'),('distributed_plan_execute_locally','0','0','New experimental setting.'),('distributed_plan_default_shuffle_join_bucket_count','8','8','New experimental setting.'),('distributed_plan_default_reader_bucket_count','8','8','New experimental setting.'),('distributed_plan_optimize_exchanges','1','1','New experimental setting.'),('distributed_plan_force_exchange_kind','','','New experimental setting.'),('update_sequential_consistency','1','1','A new setting'),('update_parallel_mode','auto','auto','A new setting'),('lightweight_delete_mode','alter_update','alter_update','A new setting'),('alter_update_mode','heavy','heavy','A new setting'),('apply_patch_parts','1','1','A new setting'),('allow_experimental_lightweight_update','0','0','A new setting'),('allow_experimental_delta_kernel_rs','0','1','New setting'),('allow_experimental_database_hms_catalog','0','0','Allow experimental database engine DataLakeCatalog with catalog_type = \'hive\''),('vector_search_filter_strategy','auto','auto','New setting'),('vector_search_postfilter_multiplier','1','1','New setting'),('compile_expressions','0','1','We believe that the LLVM infrastructure behind the JIT compiler is stable enough to enable this setting by default.'),('input_format_parquet_bloom_filter_push_down','0','1','When reading Parquet files, skip whole row groups based on the WHERE/PREWHERE expressions and bloom filter in the Parquet metadata.'),('input_format_parquet_allow_geoparquet_parser','0','1','A new setting to use geo columns in parquet file'),('enable_url_encoding','1','0','Changed existing setting\'s default value'),('s3_slow_all_threads_after_network_error','0','1','New setting'),('enable_scopes_for_with_statement','1','1','New setting for backward compatibility with the old analyzer.')]"
"25.11.2.24","Session","25.4","[('use_query_condition_cache','0','1','A new optimization'),('allow_materialized_view_with_bad_select','1','0','Don\'t allow creating MVs referencing nonexistent columns or tables'),('query_plan_optimize_lazy_materialization','0','1','Added new setting to use query plan for lazy materialization optimisation'),('query_plan_max_limit_for_lazy_materialization','10','10','Added new setting to control maximum limit value that allows to use query plan for lazy materialization optimisation. If zero, there is no limit'),('query_plan_convert_join_to_in','0','0','New setting'),('enable_hdfs_pread','1','1','New setting.'),('low_priority_query_wait_time_ms','1000','1000','New setting.'),('allow_experimental_correlated_subqueries','0','0','Added new setting to allow correlated subqueries execution.'),('serialize_query_plan','0','0','NewSetting'),('allow_experimental_shared_set_join','0','1','A setting for ClickHouse Cloud to enable SharedSet and SharedJoin'),('allow_special_bool_values_inside_variant','1','0','Don\'t allow special bool values during Variant type parsing'),('cast_string_to_variant_use_inference','1','1','New setting to enable/disable types inference during CAST from String to Variant'),('distributed_cache_read_request_max_tries','20','20','New setting'),('query_condition_cache_store_conditions_as_plaintext','0','0','New setting'),('min_os_cpu_wait_time_ratio_to_throw','0','0','New setting'),('max_os_cpu_wait_time_ratio_to_throw','0','0','New setting'),('query_plan_merge_filter_into_join_condition','0','1','Added new setting to merge filter into join condition'),('use_local_cache_for_remote_storage','1','0','Obsolete setting.'),('iceberg_timestamp_ms','0','0','New setting.'),('iceberg_snapshot_id','0','0','New setting.'),('use_iceberg_metadata_files_cache','1','1','New setting'),('query_plan_join_shard_by_pk_ranges','0','0','New setting'),('parallel_replicas_insert_select_local_pipeline','0','0','Use local pipeline during distributed INSERT SELECT with parallel replicas. Currently disabled due to performance issues'),('parallel_hash_join_threshold','0','0','New setting'),('function_date_trunc_return_type_behavior','1','0','Change the result type for dateTrunc function for DateTime64/Date32 arguments to DateTime64/Date32 regardless of time unit to get correct result for negative values'),('enable_scopes_for_with_statement','1','1','New setting for backward compatibility with the old analyzer.')]"
"25.11.2.24","Session","25.3","[('enable_json_type','0','1','JSON data type is production-ready'),('enable_dynamic_type','0','1','Dynamic data type is production-ready'),('enable_variant_type','0','1','Variant data type is production-ready'),('allow_experimental_json_type','0','1','JSON data type is production-ready'),('allow_experimental_dynamic_type','0','1','Dynamic data type is production-ready'),('allow_experimental_variant_type','0','1','Variant data type is production-ready'),('allow_experimental_database_unity_catalog','0','0','Allow experimental database engine DataLakeCatalog with catalog_type = \'unity\''),('allow_experimental_database_glue_catalog','0','0','Allow experimental database engine DataLakeCatalog with catalog_type = \'glue\''),('use_page_cache_with_distributed_cache','0','0','New setting'),('use_query_condition_cache','0','0','New setting.'),('parallel_replicas_for_cluster_engines','0','1','New setting.'),('parallel_hash_join_threshold','0','0','New setting')]"
"25.11.2.24","Session","25.2","[('schema_inference_make_json_columns_nullable','0','0','Allow to infer Nullable(JSON) during schema inference'),('query_plan_use_new_logical_join_step','0','1','Enable new step'),('postgresql_fault_injection_probability','0','0','New setting'),('apply_settings_from_server','0','1','Client-side code (e.g. INSERT input parsing and query output formatting) will use the same settings as the server, including settings from server config.'),('merge_tree_use_deserialization_prefixes_cache','1','1','A new setting to control the usage of deserialization prefixes cache in MergeTree'),('merge_tree_use_prefixes_deserialization_thread_pool','1','1','A new setting controlling the usage of the thread pool for parallel prefixes deserialization in MergeTree'),('optimize_and_compare_chain','0','1','A new setting'),('enable_adaptive_memory_spill_scheduler','0','0','New setting. Enable spill memory data into external storage adaptively.'),('output_format_parquet_write_bloom_filter','0','1','Added support for writing Parquet bloom filters.'),('output_format_parquet_bloom_filter_bits_per_value','10.5','10.5','New setting.'),('output_format_parquet_bloom_filter_flush_threshold_bytes','134217728','134217728','New setting.'),('output_format_pretty_max_rows','10000','1000','It is better for usability - less amount to scroll.'),('restore_replicated_merge_tree_to_shared_merge_tree','0','0','New setting.'),('parallel_replicas_only_with_analyzer','1','1','Parallel replicas is supported only with analyzer enabled'),('s3_allow_multipart_copy','1','1','New setting.')]"
